Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
E2F1 (mouse)	92/3056	0.9856938207123718	0.9999942770590278	0	0	0.7894399986525776	0.011375435079374203	PECR;GUCY1B3;GPSM2;ROBO4;TMEM200A;IFT172;ULK4;ICAM4;SPINT2;DUSP18;WDR89;GIMAP6;PPP1R9A;NUDT11;ING5;NUDT10;UCHL1;MECOM;ZFP30;SCRN1;PPAT;DPYSL3;HIST1H2AE;PLS3;ME3;TMEM38B;JAK3;PTRF;HIST1H2AC;PACRG;PAQR7;PRMT2;ELAC2;HIST1H2AK;SLC30A4;PHKA1;TC2N;PGM2L1;OBSCN;LUC7L3;HIST1H2BG;NUP62CL;VAMP5;L3MBTL4;DOCK1;TSPYL5;SLC29A2;PIGH;SEMA3C;CHRNA5;HIST1H2BJ;LTBP4;DTX3;GNAI1;SOCS2;REPIN1;ZNRF1;MYCT1;PARD6B;PDZD2;TMEM67;GCNT2;SH3BP4;TSPAN2;HES1;CYYR1;PROM1;RGAG4;S100PBP;WDR17;MYEF2;FANCL;SHFM1;ELP2;LHFPL2;CDC42BPA;SGCZ;PBX1;TARBP1;FANCF;BST2;FGF16;CCS;MEIS1;NFIA;GKAP1;HOOK1;ETNK1;LRRN1;MDGA2;PFKM;TPT1
AHR (mouse)	9/454	0.9866928460367671	0.9999942770590278	0	0	0.5257868272394314	0.007043696679160511	LRCH2;ROBO4;EBP;DDX58;RBM12B;MUM1;DCLK2;DYNLL1;TMEM91
Pax6 (human)	2/169	0.9867548871690729	0.9999942770590278	0	0	0.3129172571409848	0.004172317187759881	GPSM2;BIVM-ERCC5
TFAP2C (human)	40/1485	0.9868154750231533	0.9999942770590278	0	0	0.7118940267729195	0.009448408746708376	ROBO4;SERPINE2;HIBADH;CCDC127;CHRNA5;INSIG1;FAM69B;C2ORF88;SPINT2;ENO2;JAKMIP2;THBS3;ABLIM1;SH3TC1;ABI3BP;TP53INP1;FAM65C;IDS;HES1;MYH10;S1PR4;ABCA2;CD52;ST6GAL2;SLC2A10;AADAT;ZBTB38;SLC8A3;CACNB2;OBSCN;CDCP1;TRIP6;SLC25A30;F2RL1;MITD1;SERPINI1;GNB5;L3MBTL4;PFKM;ANKRD36B
GFI1 (human)	38/1427	0.987663611529214	0.9999942770590278	0	0	0.7037452543364876	0.008735669625305635	RNF8;TMEM91;TXNDC15;ACTR3B;LAPTM4B;PDZD2;CASP10;RSBN1L;TRA2A;GCNT2;CTSF;ZNF544;MCF2L2;PCYT1B;RBM14;ST6GAL2;CAMLG;LRBA;STARD9;AMT;NR1H3;LDOC1;PHKA1;CMBL;REC8;EHD2;KRT18;SYPL1;GIPC2;RAB13;VN1R1;LUC7L3;SNRPE;EFHC2;OPTN;DMRTC1B;HLA-DRB1;PIGH
TP53 (human)	85/2866	0.9879819566970801	0.9999942770590278	0	0	0.7776035354544284	0.009401882927014113	GPSM2;C2ORF88;FHL2;LRRC70;ACCS;PKD2;PPP1R9A;PARK2;MECOM;FAM19A2;PLS3;SLC16A2;MCF2L2;PRKG1;TAS2R5;PACRG;CAMK1D;DST;CAMLG;PRMT2;TSC22D1;DAPK1;TPM2;TPM1;CTDSPL;LSR;TC2N;CACNB2;SETBP1;PARD3;PLSCR4;RBM12B;CHMP4C;PIGG;AURKAIP1;FREM1;OPTN;RAPGEF3;ABCG1;BHLHB9;RBM8A;ADAM22;RNF8;ATP2C1;FSTL1;LRP6;CNN3;NKAIN2;ARHGAP22;TMEM168;STK33;ABLIM1;ACTR3C;TMEM67;GCNT2;BEND4;BEND7;SCN3A;ZKSCAN1;SCAI;GBP4;SDR42E1;ZNF462;FZD3;HLA-DRB5;ABCA5;LRBA;EPHX2;FZD6;PDE4DIP;CP;REC8;PTPRD;EHD2;SH3YL1;TSPAN13;SCD;ETNK1;SSPN;EBPL;SERPINI1;GNB5;MDGA2;ZNF334;DMRTC1B
XBP1 (human)	13/605	0.9883762911026477	0.9999942770590278	0	0	0.5695734797297297	0.006659334826667521	TSPYL2;EDARADD;ZNF154;FHL1;PSIP1;OR2L2;TMEM91;RPGR;PPFIBP1;TRAF5;ZNF248;PRKG1;FAM84B
HMGA1 (mouse)	48/1748	0.9887685213899821	0.9999942770590278	0	0	0.7241013310433663	0.00817874477226986	BHLHB9;CCDC127;PSIP1;ARHGAP5;MLLT3;PRKCZ;TMEM163;PTGS1;LRP6;SLC25A27;LAPTM4B;ZNRF1;ABLIM1;DRAM1;RSBN1L;TCTEX1D1;AKT3;BEND4;PROM1;PRKG1;SCAI;ZIK1;NPDC1;SLC2A10;FANCL;LRBA;HDGFRP3;PDE4DIP;PHKA1;SDHC;SGCZ;MLF1;SLC8A3;PPFIBP1;ARMCX1;TSPAN13;KRT18;SETBP1;PKIA;ETNK1;MPPED2;PRR15;GNB5;TMEM9;NUP62CL;FREM1;FBXL4;OPTN
STAT5B (mouse)	47/1729	0.9903423583669675	0.9999942770590278	0	0	0.7162920374536769	0.006951312737577837	THRB;CFH;TMEM200A;ADAM22;LTBP4;HSD17B14;NTPCR;ENO2;FBXO21;BACH2;PARK2;AGPAT4;SOCS2;SLC25A27;STK33;ARVCF;EBP;SCN9A;GCNT2;NHEJ1;DACT1;RIC3;HTR1F;EPHX2;PDE4DIP;CASD1;HSPG2;REC8;MLF1;SLC8A3;GGCT;CDCP1;TAL1;PALLD;PKIA;SSPN;RAPGEF2;EBPL;NHLRC1;MITD1;VWA2;ERG;HIST1H2BG;GNB5;MDGA2;SERGEF;FAM84B
LEF1 (mouse)	47/1730	0.9904627308662327	0.9999942770590278	0	0	0.7158257242290855	0.006859786646933232	BHLHB9;FHL2;MPL;HSD17B14;CROT;FBXO21;PRKCZ;NUDT10;ABHD10;ABLIM1;DACH1;ABI3BP;BAALC;GPC5;BEND7;E2F5;NHEJ1;SLC18A2;AASS;S100PBP;GSTM3;PRELID2;WDR17;TSC22D1;AADAT;SGIP1;STAC;RPL23;ELAC2;TRPC1;ARHGEF17;SLC30A4;RHOH;PDE4DIP;LDOC1;VWDE;CES4A;BST2;NFIA;CLDN15;ETNK2;PLSCR4;MPPED2;NCOA7;PFKM;ST6GALNAC5;SLC29A2
