Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NR5A2 (mouse)	45/1748	0.9967544316511269	0.9999942770590278	0	0	0.6745790602083874	0.0021929530642782196	GRAMD1C;SLC35B3;GUCY1B3;SLC45A3;THRB;CNRIP1;FHL1;PBXIP1;SPINT2;PRKCZ;FSTL1;CDC14B;REPIN1;FAM134B;FAM102B;ABLIM1;EBP;ATXN1;TRA2A;TSPAN2;BEND7;SCN3A;RGAG4;SLC18A2;CAMK1D;ATP8B2;PRMT2;LIMCH1;TPM1;PDE4DIP;PHKA1;KLHL3;TC2N;HSPG2;CES4A;FGF16;ETNK2;GIPC2;TRIP6;FREM1;SHANK3;RAPGEF3;SLC29A2;ITGA9;FBN1
CREB1 (mouse)	18/849	0.9967795976874488	0.9999942770590278	0	0	0.5585115245765065	0.0018015341972669207	HFM1;TSC22D1;IFT172;ICA1;FIGN;TMEM64;MSI2;PGM2L1;ING5;PPAT;RNF17;ATP6V0A2;GNB5;MPDZ;JAM2;GSTM5;ITGA9;ANKRD6
SREBF2 (human)	33/1361	0.9968771812943547	0.9999942770590278	0	0	0.6368190619621342	0.0019917820871733216	TMEM63A;FAM69B;FHL1;MSI2;DTX3;TMEM220;ABLIM1;ARVCF;DRAM1;APH1B;SCRN1;ZBED5;AASS;SULT1C4;ZIK1;ANKRD6;ZNF165;ARG2;RBM14;RBPMS;HTR1F;LIMCH1;RPL22;BOLA1;PDE4DIP;CASD1;CLDN15;IFT81;ARMC4;VAMP5;OPTN;DMRTC1B;FBN1
MYC (mouse)	43/1699	0.9973862110395625	0.9999942770590278	0	0	0.6627397955611566	0.0017345297975013328	BEX4;SPON1;MUM1;PBXIP1;MSI2;NTPCR;WDR89;FAM169A;IGF1R;TMEM220;THBS3;SOCS2;ING5;LAPTM4B;PARD6B;RPS6KA6;PPAT;ATP6V0A2;HIST1H2AE;FAM65C;HES1;CTSF;SLC37A3;EIF4B;ABCA2;TPM1;MBOAT1;BOLA1;DCLK2;BMP6;FANCF;FGF16;PSMC6;OBSCN;EVC;KLHL6;GIPC2;TRIP6;VWA2;TMEM126B;GNB5;RAPGEF3;ITGA9
IKZF1 (human)	33/1373	0.9974126146369051	0.9999942770590278	0	0	0.6306940298507463	0.0016339632604761886	GRAMD1C;MUM1;RNF8;HSD17B14;TMEM91;ACTR3B;ING5;LAPTM4B;DRAM1;PDZD2;HIST1H2AE;CTSF;GTF2IRD2B;ANKRD6;EDARADD;ZNF285;GABBR1;SPINK2;RBM14;PAQR7;CAMLG;ELAC2;CTDSPL;NR1H3;TC2N;KLK10;EHD2;CACNB2;KRT18;VN1R1;SNRPE;AVP;PAFAH1B1
E2F1 (human)	125/4207	0.9974451927372471	0.9999942770590278	0	0	0.7648006169576317	0.001956418372191041	SERPINE2;C2ORF88;BACH2;IGF1R;NUDT11;SYDE2;CFL2;PPAT;FAM19A2;FAM65C;TMEM38B;LAG3;ST6GAL2;LIMCH1;PHKA1;CMBL;CASD1;SYTL4;CACNB2;OBSCN;SMO;IFT81;OR2L13;TMEM126B;PLA2R1;ABCG1;SLC45A3;BHLHB9;CHRNA5;INSIG1;NPR3;GATA3;LTBP3;PRKCZ;MED12L;CNN3;NKAIN2;C2ORF27B;ACTR3C;ATXN1;APH1B;ZNF706;CHST12;TSPAN6;ZNF302;MYH10;ABCA5;LRBA;FZD6;CRIM1;BMP6;EFNA1;ZNF559-ZNF177;ZNF418;GIPC2;GNB5;DZIP3;FBN1;ZNF132;THRB;CCDC127;CNRIP1;ELN;FAM57A;FHL1;FHL2;ICA1;PSIP1;RPGR;FAM102B;MECOM;SCRN1;CASP10;SLC22A17;TRPS1;BBS9;ME3;MCF2L2;PRKG1;DACT1;EDARADD;PACRG;CDADC1;TSC22D1;CTDSPL;DYNLL1;REXO4;METTL23;SETBP1;ALS2;TAL1;NCOA7;BCAT1;DOCK1;RAPGEF3;PIGH;PBXIP1;TM2D3;ATP2C1;ZNRF1;ARVCF;ERMP1;PNMA1;TRA2A;SH3BP4;HES1;E2F5;NPDC1;ZNF462;AADAT;NICN1;CYP51A1;STYK1;ZNF181;SAMD4A;PDE4DIP;PHOSPHO2-KLHL23;BAIAP3;SH3YL1;HIST3H2A;NFIA;KLHL5;F2RL1;MDGA2;PFKM
USF1 (human)	35/1441	0.9974890770091579	0.9999942770590278	0	0	0.6369906703566784	0.0016014459152830717	SERPINE2;FHL1;TRANK1;MSI2;TM2D3;BACH2;NUDT11;REPIN1;FAM134B;ING5;SENP7;STK33;SH3TC1;PPAT;ME3;HES1;CTSF;BEND7;TMEM38B;ZIK1;ARL10;AMT;CABLES1;RHOH;PSMB8;BMP6;SLC8A3;EFNA1;KLHL5;ALS2;GKAP1;PARD3;TRIP6;MZB1;DOCK1
MIR138 (human)	32/1356	0.9980053389043925	0.9999942770590278	0	0	0.6186414746305451	0.0012352124065920834	CHRM3;ELN;FIGN;MSI2;DTX3;PKD2;CHRDL1;BACH2;REPIN1;ARHGAP22;HENMT1;MECOM;SCRN1;SLC18A2;HIST1H2AC;CALN1;ST6GAL2;LIMCH1;SAMD4A;NCR1;CCS;NBEA;OR2L13;SCD;TRAF5;MPPED2;FAM26F;ERG;VAMP5;PHLDB2;ZNF135;SLC29A2
REL (mouse)	44/1752	0.9980642944831635	0.9999942770590278	0	0	0.6565160790338643	0.001272053354004142	EXD2;SLC45A3;SPINT2;MSI2;ACCS;MLLT3;PPP1R9A;ACTR3B;BACH2;ADCY6;LRP6;MYCT1;ARVCF;TATDN1;PPCS;TRA2A;NDN;TSPAN2;MPDZ;PRKG1;HIBCH;ANKRD6;EGLN3;SLC37A1;CAMK1D;HMGCS1;TSC22D1;ARHGEF17;RPL22;MBOAT1;RASSF9;HSPG2;REXO4;BST2;CRYGD;PSMC6;EMCN;TMEM136;MORN4;ETNK2;RBM12B;SSPN;FAT4;MDGA2
Nkx3-2 (mouse)	25/1122	0.9981075491234277	0.9999942770590278	0	0	0.5848642162240111	0.0011078754295387053	TMEM63A;CFH;CHRNA5;PCDHGB4;GATA3;RYR3;SOCS2;UCHL1;CFL2;ATP6V0A2;ATP9A;KLRG1;ARL10;NPDC1;ABCA2;PCYT1B;BSPRY;PTPRD;EMCN;DDAH2;SSPN;NFE2L3;MAGED2;AVP;TSPYL5
PCBP1 (human)	32/1360	0.9981307845474128	0.9999942770590278	0	0	0.6166405994878229	0.0011537127423319846	TARSL2;PLAG1;FAM57A;LTBP4;GATA3;MSI2;ATP2C1;PRKCZ;ABO;ADCY6;IGF1R;NKAIN2;ING5;ATXN1;CHST12;SH3BP4;HES1;ST6GAL2;CAMK1D;TSC22D1;ARHGEF17;STARD9;SAMD4A;CTDSPL;HSPG2;BAIAP3;METTL23;EFNA1;SH3YL1;SETBP1;IFT81;ZFP28
JUND (mouse)	44/1764	0.998377016756579	0.9999942770590278	0	0	0.6514901947547845	0.0010582166357478036	SLC35B3;GPSM2;THRB;HIST1H2BJ;CNRIP1;MPL;RNF8;LAPTM4B;ADAM28;ABHD10;ABLIM1;RPS6KA6;UCHL1;MECOM;DPYSL3;HIST1H2AE;ATP9A;IL12RB2;CD52;PRMT2;FANCL;NICN1;FZD6;AMT;PAWR;NAP1L2;HSPG2;MLF1;PTPRD;NCR1;TMEM232;LRCH2;OBSCN;NFIA;NBEA;ALDH1A1;PRR15;MAGED2;AVP;PIGG;MDGA2;BMPR1B;PAFAH1B1;ITGA9
NFIC (human)	130/4403	0.9984503157893418	0.9999942770590278	0	0	0.7565029986971299	0.0011732500709323757	ZNF330;SPPL2B;C2ORF88;MUM1;ACCS;WDR89;FAM134B;RASSF6;FAM19A2;PLS3;SAMD13;CALN1;CA13;TSPYL2;STARD4;ST6GAL2;PAQR7;BOLA1;HDGFRP3;MIR27A;CASD1;SMO;SYPL1;OR2L13;NHLRC1;RAB38;HIST1H2BG;FREM1;PHLDB2;ABCG1;SLC45A3;CHRNA5;NTPCR;PRKCZ;ACTR3B;ACACB;NKAIN2;EBP;TCTEX1D1;PROM1;ZBED5;MYH10;SCAI;ZNF662;ABCA2;PRELID2;ATP8B2;PBX1;BSPRY;GGCT;ZNF559-ZNF177;TMEM98;HOOK1;PKIA;SNORA49;HIST1H4H;ID3;EBPL;GPSM2;ROBO4;CCDC127;FHL1;FHL2;ARHGAP5;DUSP16;CHRDL1;MECOM;PRKG2;SERAC1;SLC18A2;AASS;TAS2R5;ZIK1;EDARADD;RBM14;HMGCS1;DST;PRMT2;DDX58;REXO2;BIVM-ERCC5;PGM2L1;PALLD;DDAH2;MIR17HG;CRY1;ALDOC;TMEM9;NUP62CL;BCAT1;GRAMD1C;SEMA3C;FAM24B-CUZD1;MRPS33;ATP2C1;GNAI1;FAM117A;TMEM168;ABLIM1;PARD6B;ARVCF;TP53INP1;GNA12;GCNT2;ZNF286B;HES1;CYYR1;ATP9A;S100PBP;WDR17;AADAT;NICN1;MBOAT1;NAP1L3;CABLES1;KLK10;REC8;DCBLD2;SLC8A3;SLC4A8;HIST3H2A;KRT18;MORN4;NFIA;SCD;ST7;MITD1;PFKM;TPT1;ZNF354C
SP1 (mouse)	62/2360	0.9987932169186613	0.9999942770590278	0	0	0.682300036706577	8.238853662021973E-4	SERPINE2;FHL1;MUM1;PSIP1;MSI2;IGF1R;NUDT11;FAM134B;ING5;NUDT10;ABHD10;SCN9A;RNF150;DACT1;PAQR8;PACRG;TSC22D1;DDX58;TPM2;TRPC1;ARHGEF17;CTDSPL;PAWR;ELOVL7;HSPG2;DDX50;SETBP1;MPPED2;PKP2;SHANK3;RAPGEF3;SLC45A3;HLF;TARSL2;PLAG1;LTBP4;MLLT3;PRKCZ;ADCY6;AGPAT4;SOCS2;PARD6B;TMEM65;GNA12;SH3BP4;BEND4;HES1;ATP9A;S100PBP;RBPMS;LRBA;EPHX2;TMEM64;CDC42BPA;EFNA1;PPFIBP1;NFIA;ETNK2;GKAP1;ID1;TAB2;LPIN1
FOS (human)	32/1394	0.9989347989330095	0.9999942770590278	0	0	0.6001076708122024	6.395760303002667E-4	WDR49;SEMA3C;FAM69B;NTPCR;TMEM91;ADAM28;TMEM168;ABLIM1;ACTR3C;ZNF286B;TSPAN2;CTSF;MPDZ;CA13;CMTM8;RPL23;ZNF10;PTPRD;EHD2;IFT88;NFIA;DPPA4;KLHL6;CD109;RAB13;RBM12B;VN1R1;GNB5;ZNF334;FBXL4;ABCG1;BEX5
YY1 (mouse)	41/1700	0.9990317820281637	0.9999942770590278	0	0	0.6288418052521367	6.091508803122825E-4	FHL1;ULK4;ADAM22;HSD17B14;PBXIP1;NLRC3;HMGCR;ATP2C1;TXNDC15;MED12L;FAM117A;CDC14B;PREX2;NUDT11;NUDT10;PDZD2;MECOM;BAALC;PROM1;MPDZ;CD52;RBM14;MREG;TSC22D1;SLC2A10;SGIP1;ELAC2;TPM1;MBOAT1;CMBL;CASD1;TARBP1;FANCF;SLC4A8;ETNK2;GNB5;MDGA2;FREM1;RAPGEF3;ABCG1;ITGA9
KLF5 (human)	33/1445	0.9992023651026567	0.9999942770590278	0	0	0.596130109267503	4.7568391478419297E-4	TARSL2;PLAG1;FHL1;NPR3;NLRC3;SPINT2;MSI2;LTBP3;PEAR1;ACTR3B;ADCY6;SOCS2;ING5;BCL7A;PTRF;ST6GAL2;MME;STAC;SAMD4A;LDOC1;PHKA1;TC2N;HSPG2;METTL23;EFNA1;PLCB4;IFT81;HOOK1;RAB13;LUC7L3;FBXL4;ABCG1;ZFP28
MZF1 1-4 (human)	72/2705	0.9992034462299646	0.9999942770590278	0	0	0.6881401138695241	5.483590297475411E-4	TRIM74;SERPINE2;IFT172;C2ORF88;FHL1;ICA1;ICAM4;CDC14B;SENP7;MECOM;SCRN1;SLC22A17;CFL2;GPRASP1;ZNF521;DAPK1;LIMCH1;HDGFRP3;HCG4;ELOVL7;CASD1;EVC;TMEM136;SMO;CLDN15;PALLD;DSG2;OPTN;RAPGEF3;ABCG1;PAFAH1B1;GRAMD1C;SEPT5-GP1BB;HLF;LTBP4;ATXN7L3B;MLLT3;FAM169A;ATP2C1;PRKCZ;ACTR3B;ABO;PTGS1;ALOX12P2;SCN3A;RGAG4;IL12RB2;NPDC1;NSUN5P2;ATP8B2;AADAT;FZD6;KLHDC1;SAMD4A;CRIM1;NR1H3;SMARCA1;PSMB8;FBXW4P1;SDHAP2;BAIAP3;BST2;ZNF559-ZNF177;PGM5P2;PPFIBP1;MEIS1;KRT18;SLC25A30;DKFZP434L187;TAB2;SERGEF;BEX5
En1 (mouse)	19/957	0.9992143750787088	0.9999942770590278	0	0	0.5199856061827716	4.0867420427763825E-4	NPDC1;WDR17;HIBADH;TSC22D1;PHKA1;NLRC3;TMEM64;IFT88;PPFIBP1;UCHL1;MEIS1;ATP6V0A2;NCOA7;ALDOC;CYTL1;SNORD64;SERPINI1;BEND7;CALN1
Prrx2 (mouse)	56/2205	0.9992624813885891	0.9999942770590278	0	0	0.6588946251665952	4.8612633467181183E-4	THRB;CCDC127;MUM1;ICA1;PLOD2;MSI2;PKD2;BACH2;PREX2;TRO;DACH1;SCRN1;SLC22A17;PLS3;BBS9;RNF150;AASS;ZIK1;EDARADD;MREG;CDADC1;TPM2;MIRLET7I;PHKA1;VWDE;MIRLET7D;TC2N;SYTL4;DDX50;TMEM136;CD109;RBM12B;ALDH1A1;ST6GALNAC5;ITGA9;CFH;PLAG1;ATXN7L3B;NTPCR;THBS3;SOCS2;NKAIN2;SV2A;ATP6V0A2;NDN;NPDC1;SLC37A1;NICN1;NAP1L3;CABLES1;PBX1;SH3YL1;HOOK1;HIST1H4H;MAGED2;PFKM
POU1F1 (mouse)	42/1754	0.9993032353038686	0.9999942770590278	0	0	0.6232586526367042	4.3441598615818913E-4	GUCY1B3;GPSM2;CCDC127;CHRNA5;ELN;ATL1;KCNA6;MLLT3;PPP1R9A;RPGR;SENP7;UCHL1;DRAM1;SH3TC1;BEND4;E2F5;MPDZ;PCYT1B;RBPMS;TSC22D1;LIMCH1;AMT;CRIM1;PHKA1;KLHL3;LHFPL2;CP;PSMB8;CES4A;DCBLD2;ZDHHC15;PTPRD;PLCB4;EMCN;NFIA;PARD3;GIPC2;SSPN;CHMP4C;RAPGEF3;ITGA9;ZFP28
TFAP2D (human)	29/1324	0.999392726774219	0.9999942770590278	0	0	0.5716786591786592	3.4727059821326137E-4	C2ORF88;RNF8;KRBA2;PEAR1;ADCY6;BCL7A;ATP6V0A2;ARL10;CD52;ARG2;CAMLG;RPL23;ELAC2;NR1H3;SDHC;BIVM-ERCC5;NCR1;EHD2;KRT18;NFIA;KLHL5;GATS;SLC25A30;LUC7L3;SNRPE;AVP;AURKAIP1;DMRTC1B;ABCG1
PITX2 (human)	98/3528	0.999394114254054	0.9999942770590278	0	0	0.7125759280089988	4.3187044297319366E-4	C2ORF88;MUM1;PLOD2;TMEM91;CDH9;TXNDC15;PREX2;LAPTM4B;CFL2;RASSF6;PTRF;ARL10;SPINK2;DAPK1;LIMCH1;RPL23;BOLA1;CMBL;SYPL1;CD109;SPIN2B;SNRPE;ERG;HIST1H2BG;BEX4;BHLHB9;CFH;RBM8A;INSIG2;ACTR3B;ACACB;CNN3;TCTEX1D1;MPDZ;NHEJ1;RBPMS;HTR1F;LRBA;FZD6;DCLK2;WDR54;PTPRD;NBEA;GIPC2;FBXL4;DMRTC1B;HLA-DRB1;TRIM74;FAM69B;DUSP18;FAM127C;TMEM220;ING5;MECOM;CASP10;ME3;CTSF;SLC37A3;MCF2L2;ANKRD6;CD52;PACRG;RBM14;AMT;RHOH;NSUN7;DYNLL1;ZNF75A;ZDHHC15;PLCB4;DPPA4;RBM12B;VN1R1;LUC7L3;AVP;BCAT1;VAMP5;PIGH;PAFAH1B1;RNF8;FAM117A;ZNRF1;DRAM1;RSBN1L;GCNT2;METTL6;BEND7;IL12RB2;MYEF2;NICN1;NR1H3;KLK10;REC8;TTC39B;RAB13;GATS;SLC25A30;PFKM
HNF4A (mouse)	6/461	0.99943893673996	0.9999942770590278	0	0	0.3412246625451577	1.9150234906480375E-4	NFIA;ELN;ZBTB38;ARHGEF17;NR1H3;NMI
NR5A2 (human)	107/3815	0.9994866066950958	0.9999942770590278	0	0	0.7172183621631495	3.6830965723675963E-4	C2ORF88;ICAM4;SPINT2;MSI2;ACCS;PARK2;CDC14B;GPR173;TATDN1;DEPTOR;ZFP30;FAM19A2;BAALC;SLC16A2;ZNF165;LAG3;TSPYL1;PAQR7;SLC30A4;OR2L2;PHKA1;C6ORF141;TC2N;SYTL4;CACNB2;TMEM136;SYPL1;OR2L13;CD109;RAB38;TMEM126B;ERG;HIST1H2BG;AURKAIP1;ABCG1;EXD2;ZNF671;BHLHB9;NPR3;NTPCR;PRKCZ;ACTR3B;ARHGAP22;CHST12;PROM1;ZNF302;ZNF544;MYH10;NHEJ1;FANCL;LRBA;WDR54;PTPRD;EHD2;ZNF559-ZNF177;NFE2L3;ID3;EBPL;FBXL4;ELN;FHL1;FHL2;PSIP1;FAM127C;ING5;BBS9;ZNF248;HIBCH;ZIK1;CD52;C5ORF56;CAMK1D;PRMT2;CES4A;MLF1;ZDHHC15;PLCB4;CLDN15;PALLD;PLSCR4;TRAF5;MZB1;VWA2;BCAT1;PIGH;KIAA1324L;NLRC3;TM2D3;GNAI1;PTGS1;ARVCF;TRA2A;E2F5;S1PR4;AKR1C1;ZNF181;PDE4DIP;LHFPL2;PSMB8;REC8;BAIAP3;SLC8A3;HIST3H2A;NFIA;KLHL5;SCD;ETNK1
FOXF2 (human)	30/1379	0.9995782028720478	0.9999942770590278	0	0	0.5668178419924352	2.3913257408709508E-4	GRAMD1C;FAM69B;RNF8;TMEM91;ACTR3B;ING5;LAPTM4B;SENP7;CASP10;HIST1H2AE;CTSF;ZNF544;JAK3;ANKRD6;ARL10;ZNF781;CD52;SPINK2;RBM14;NR1H3;CES4A;REC8;FANCF;SYPL1;RAB13;VN1R1;SNRPE;EFHC2;DMRTC1B;PIGH
Sox2 (mouse)	42/1797	0.9996492256113149	0.9999942770590278	0	0	0.6064986950659889	2.1278153033786997E-4	BHLHB9;PCDHGB4;ATXN7L3B;PBXIP1;DUSP18;TM2D3;ARHGAP5;PPP1R9A;FAM169A;CDH9;PREX2;CRHBP;FAM102B;RPS6KA6;EBP;MED10;FAM19A2;ATP6V0A2;IDS;E2F5;JAK3;SCAI;WDR17;RIC3;FANCL;RHOH;LDOC1;VWDE;LHFPL2;PBX1;PLCB4;MORN4;PALLD;PARD3;CD109;ST7;ASB9;EBPL;FAM171B;ERG;GNB5;TMEM9
MYOD1 (mouse)	38/1672	0.99969899780828	0.9999942770590278	0	0	0.5900284423623892	1.7762658866579567E-4	CHRM3;TMEM63A;SEMA3C;ELN;DPY30;NLRC3;ENO2;PARK2;REPIN1;SENP7;UCHL1;MECOM;ZFP30;PROM1;SLC37A3;ATP9A;EIF4B;SCAI;AASS;HIST1H2AC;CMTM8;FZD3;SLC37A1;ABCA5;ELAC2;FZD6;TPM1;KLHDC1;CRIM1;PDE4DIP;KLHL3;NSUN7;TMEM98;NBEA;CHMP4C;GNB5;PDZRN4;FBN1
SP3 (human)	28/1332	0.9997211497745904	0.9999942770590278	0	0	0.5471043814993691	1.525814547790592E-4	TARSL2;PLAG1;FHL1;LTBP4;NLRC3;GATA3;MSI2;PRKCZ;IGF1R;ING5;APH1B;CHST12;SH3BP4;HES1;SLC16A2;TPM2;ARHGEF17;SAMD4A;CTDSPL;HSPG2;BAIAP3;METTL23;SH3YL1;SETBP1;IFT81;HOOK1;FBXL4;ZFP28
SPI1 (mouse)	38/1680	0.9997368813507699	0.9999942770590278	0	0	0.5868873719538377	1.544413316471267E-4	GRAMD1C;CHRM3;GUCY1B3;ELN;GPR21;KCNA6;GNAI1;MYLK4;ARHGAP22;FAM134B;SENP7;FGD5;SH3TC1;PLS3;GPRASP1;RGAG4;PRKG1;GBP4;SDR42E1;CD52;TSC22D1;EPHX2;AMT;CRIM1;RASSF9;CMBL;TMEM232;CCS;CLDN15;TRIP6;PLSCR4;SSPN;NFE2L3;RAPGEF2;SERPINI1;MDGA2;BMPR1B;VAMP5
ZBTB7A (human)	29/1373	0.999749817896161	0.9999942770590278	0	0	0.5493343733089827	1.3745082381066964E-4	SERPINE2;PLAG1;MUM1;CROT;TMEM163;ABO;IGF1R;SYDE2;GPR173;ING5;NRIP1;ZNF667;ZNF544;MYH10;EDARADD;ST6GAL2;RBPMS;NOG;SAMD4A;ZNF10;BAIAP3;EFNA1;CACNB2;OBSCN;MAGED2;TAB2;SERPINI1;SLC29A2;ITGA9
IRF2 (mouse)	38/1706	0.9998305433659906	0.9999942770590278	0	0	0.5768869796249332	9.776560952059075E-5	EXD2;TMEM200A;ADAM22;TRANK1;MLLT3;TMEM163;CDC14B;MYLK4;TRO;FAM134B;RPS6KA6;RSBN1L;SERAC1;MPDZ;SLC37A3;PRKG1;FANCL;RHOH;SMARCA1;SGCZ;MLF1;BSPRY;CACNB2;IFT88;PPFIBP1;ALS2;HOOK1;ETNK1;RBM12B;ASB9;SSPN;HIST1H4H;LRRN1;FAM171B;HIST1H2BG;MDGA2;FBXL4;PDZRN4
GLI2 (human)	31/1465	0.9998323113530817	0.9999942770590278	0	0	0.5491611931639826	9.209581934919723E-5	ZNF154;PECR;ZNF330;SLC45A3;INSIG1;SPPL2B;FHL1;FBXO21;PRKCZ;FAM134B;SLC22A17;TMEM67;MMP28;JAM2;CA13;ABCA2;AADAT;TRPC1;ZNF181;MBOAT1;TC2N;TTC39B;HIST3H2A;SETBP1;PALLD;ID1;SLC25A30;RAB38;SERPINI1;TMEM9;ABCG1
NRF1 (mouse)	37/1676	0.9998421577766075	0.9999942770590278	0	0	0.5717636910647788	9.025557551055112E-5	SLC35B3;CCDC127;IFT172;RNF8;ATXN7L3B;SPINT2;TM2D3;PARK2;TMEM220;LAPTM4B;ZNRF1;ARVCF;ZFP30;CHST12;CFL2;TRA2A;S1PR4;NHEJ1;CD52;PACRG;GABBR1;SLC37A1;PRMT2;LRBA;TPM1;ELP2;DCLK2;NSUN7;DYNLL1;TARBP1;TMEM136;MORN4;DPPA4;NUP62CL;BCAT1;PDZRN4;GSTM5
USF2 (human)	103/3792	0.9998464486812099	0.9999942770590278	0	0	0.690398309861579	1.060197109112669E-4	GUCY1B3;SERPINE2;PLOD2;MSI2;ACCS;TMEM91;GIMAP7;BACH2;NUDT11;CRHBP;FAM134B;PPAT;TMEM38B;CALN1;ARL10;ZNF165;TSPYL1;HSPG2;CACNB2;IFT88;ARMCX1;ARMCX2;POLG2;OR2L13;PARD3;ABCG1;BEX2;TRANK1;KRBA2;PRKCZ;SOCS2;STK33;ACTR3C;ZNF667;SCAI;PRELID2;HLA-DRB5;HTR1F;EPHX2;DCLK2;CP;BMP6;PTPRD;EFNA1;ZNF559-ZNF177;TRIP6;SSPN;FAM26F;MAGED2;GNB5;FHL1;CHRDL1;ING5;SENP7;MECOM;ME3;CTSF;MCF2L2;PRKG1;ZIK1;EDARADD;ARG2;DDX58;C10ORF10;AMT;RHOH;LSR;PLCB4;ALS2;DDAH2;MZB1;AVP;DOCK1;GRAMD1C;ATL1;KIAA1324L;FIGN;NLRC3;TM2D3;JAKMIP2;REPIN1;MYCT1;PARD6B;SV2A;SH3TC1;SPOCK3;DNAJB9;HES1;BEND7;APOL3;NPDC1;AADAT;CABLES1;PHOSPHO2-KLHL23;SGCZ;BAIAP3;TTC39B;SLC8A3;SH3YL1;KLHL5;SLC25A30;PFKM;TPT1
ARID3A (mouse)	43/1893	0.9998734398015473	0.9999942770590278	0	0	0.5867066196631414	7.425840539646545E-5	CHRM3;BEX2;CHRNA5;ATL1;ADAM22;ICA1;MPL;DPY30;NTPCR;DUSP18;PREX2;ABLIM1;EBP;DACH1;ZFP30;SV2A;NRIP1;ATP6V0A2;CTSF;JAM2;ANKRD6;CMTM8;TSPYL1;MME;CABLES1;VWDE;MIRLET7D;SYTL4;DDX50;ZDHHC15;BST2;EFNA1;IFT88;PLCB4;MORN4;IFT81;SLC9A7;KLHL6;ALDH1A1;ASB9;VAMP5;L3MBTL4;PDZRN4
PITX1 (human)	30/1448	0.9998794566453341	0.9999942770590278	0	0	0.5371599050613229	6.475495991659346E-5	EXD2;BHLHB9;MUM1;PEAR1;MLLT3;TMEM91;ING5;ADAM28;CASP10;RSBN1L;GCNT2;CTSF;MPDZ;ANKRD6;SPINK2;CAMLG;NICN1;AMT;DYNLL1;KLK10;REC8;TTC39B;CACNB2;CD109;RAB13;RBM12B;VN1R1;SLC25A30;LUC7L3;AVP
CBEPA (mouse)	39/1764	0.9998868671740213	0.9999942770590278	0	0	0.5714722465856409	6.465592764749495E-5	EXD2;BEX1;CHRNA5;LTBP4;PBXIP1;MSI2;DUSP18;TM2D3;WDR89;MIPOL1;CDC14B;LAPTM4B;ABHD10;ABLIM1;UCHL1;DACH1;SPOCK3;RNF17;NDN;SLC37A3;RGAG4;ZKSCAN1;SCAI;DACT1;EDARADD;EGLN3;HFM1;DDX58;ZDHHC15;PTPRD;EMCN;DPPA4;HOOK1;ST7;EBPL;MAGED2;GNB5;TPT1;FAM84B
RELA (human)	69/2775	0.9999177166402674	0.9999942770590278	0	0	0.635974607966233	5.233228051553998E-5	SERPINE2;IFT172;MUM1;ICAM4;DUSP18;GPR173;LAPTM4B;MECOM;CFL2;PPAT;FAM65C;SERAC1;SLC16A2;MCF2L2;ST6GAL2;CAMK1D;PRMT2;TSC22D1;RPL22;C10ORF10;CASD1;HSPG2;CES4A;SERPINB6;METTL23;SYPL1;CLDN15;PALLD;MPPED2;PIGG;DOCK1;OPTN;RAPGEF3;ANKRD36B;BEX4;ZNF594;BEX2;HSD17B14;NLRC3;PRKCZ;ADCY6;FAM117A;LRP6;NKAIN2;ARHGAP22;ZNRF1;TMEM168;ABLIM1;TRA2A;HES1;GTF2IRD2B;APOL3;SLC37A1;ATP8B2;LRBA;SAMD4A;NAP1L3;ELP2;LHFPL2;KLK10;REC8;CCS;KRT18;NFIA;KLHL5;KLHL6;SCD;F2RL1;PFKM
FOXA2 (mouse)	29/1441	0.9999284672159826	0.9999942770590278	0	0	0.5208953692377029	3.726242870186201E-5	ICA1;PLOD2;LTBP3;THBS3;NUDT11;SYDE2;NUDT10;ATP6V0A2;RNF150;ARL10;PACRG;TSPYL1;DDX58;SLC30A4;DCLK2;REXO2;MLF1;FANCF;PPFIBP1;OBSCN;ETNK2;SLC9A7;MPPED2;MITD1;MAGED2;VWA2;HIST1H2BB;FREM1;DZIP3
TP53 (mouse)	24/1266	0.9999365155674435	0.9999942770590278	0	0	0.4912682351818919	3.118887515807556E-5	ARL10;EXD2;PRELID2;CMTM8;FZD3;PCYT1B;RBM14;DDX58;FAM57A;DPY30;PDE4DIP;REXO4;TMEM232;ZNRF1;SENP7;LRCH2;DPPA4;DDAH2;CFL2;PLSCR4;TRA2A;TSPAN2;S1PR4;ZFP28
SNAI2 (human)	28/1428	0.9999528069268825	0.9999942770590278	0	0	0.5068652482269503	2.3921093179690404E-5	LTBP4;SPINT2;TMEM91;PRKCZ;PARD6B;GCNT2;BEND7;JAK3;NPDC1;ARG2;HTR1F;DDX58;C10ORF10;AMT;RHOH;LSR;REXO2;BAIAP3;TTC39B;CACNB2;SH3YL1;IFT88;ARMCX1;DDAH2;SLC25A30;LUC7L3;LPIN1;ABCG1
